城市,区域,店名,地址,电话,类型,评分,营业时间,品牌,经纬度,ID
东莞,万江街道,01咖啡(瓦舍店)(暂停营业),金泰社区金鳌洲金鳌路49号,18029059216,餐饮服务;咖啡厅;咖啡厅,4.5,,,"113.736987,23.039806",B0HDFMFR7Z
东莞,万江街道,About Coffee·关于咖啡烘焙工坊(富田町店),莞城街道博厦工农路55号2号楼101室,[],餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.736172,23.031271",B0JKHZ7D1E
东莞,万江街道,C WAY Cafe&Bar,万江街道周屋基商业二街5号楼105室,[],餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.728564,23.036730",B0J2S7TU4W
东莞,万江街道,C3 COFFEE·美森咖啡(天宝店),莞城街道温南路182号113室,18922931813,餐饮服务;咖啡厅;咖啡厅,4.5,,,"113.777789,23.047235",B0FFKNTRT4
东莞,万江街道,CIVILCOFFEE万咖啡,葡萄庄园二期,[],餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.725025,23.039325",B0KKFYEEBC
东莞,万江街道,CIVILIANCOFFEE平民咖啡(万江店),万江葡萄庄园别墅区商铺50号,13310817519;15382871901,餐饮服务;咖啡厅;咖啡厅,3.6,,,"113.724978,23.039310",B0H34M2IJP
东莞,万江街道,CT LUCK Hotel(万江家汇广场店),万江街道共联古新路2号,18128529668,住宿服务;宾馆酒店;宾馆酒店,4.6,,COSTA,"113.713824,23.036715",B0IGKAIHIK
东莞,万江街道,Easy coffee,万江共联社区新莲塘新三区四横巷7号,13728383307,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.712830,23.037376",B0IUV5O29M
东莞,万江街道,KAFKA咖啡(天和百货店),西城楼公园南门旁,18025291737,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.750753,23.040018",B03018J5YF
东莞,万江街道,Midway Coffee半步咖啡(恒大·华府店),高第街9号恒大金碧华府4栋159,13686214562,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.747141,23.039706",B0HKYCWCEM
东莞,万江街道,No.111咖啡酒馆,莞城街道万寿路111号101室,[],餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.759251,23.043809",B0K3MCRXEZ
东莞,万江街道,Tim Tim Coffee Studio(恒大·华府店),运河东二路与市桥向阳路交叉口西南100米,15820955875,餐饮服务;餐饮相关场所;餐饮相关,3.8,,,"113.746802,23.039573",B0JBTOE61B
东莞,万江街道,UM CAFE(莞城店),莞城街道创业社区运河东三路30号碧桂园东江月,[],餐饮服务;咖啡厅;咖啡厅,3.6,,,"113.743097,23.035786",B0KR2AI2HI
东莞,万江街道,WAOCOFFEE(恒大华府店),恒大·华府,[],餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.747711,23.038116",B0K6GR1KMQ
东莞,万江街道,一加沐足(万江店),万江街道万高路28号,0769-22772272,生活服务;洗浴推拿场所;洗浴推拿场所,4.3,,COSTA,"113.728423,23.056346",B0FFM1DZMZ
东莞,万江街道,万江中心小学,万江街道万江社区万福路237号,0769-22172672;0769-22271666,科教文化服务;学校;小学,[],,COSTA,"113.736744,23.050301",B03018J5JS
东莞,万江街道,万江华南摩37度2酒吧,万江街道,[],体育休闲服务;娱乐场所;酒吧,3.9,,COSTA,"113.724109,23.034201",B0FFGOCNNA
东莞,万江街道,万江新河横街一巷5号,万江街道,[],地名地址信息;门牌信息;道路门牌,[],,COSTA,"113.736145,23.056651",B0L6O7CFIF
东莞,万江街道,万江星际酒吧,万江街道万江中创工业园9栋1单元106,[],体育休闲服务;娱乐场所;酒吧,4.3,,COSTA,"113.729923,23.033617",B0FFKHT35I
东莞,万江街道,万江爱森水店,万江街道岳潭村东六横巷1号,13423319367,购物服务;专卖店;专营店|生活服务;生活服务场所;生活服务场所,3.9,,COSTA,"113.726233,23.041488",B0FFGCMUBG
东莞,万江街道,万江街道万江社区新风居民小组,万江街道万龙路98号万江街道万江社区,[],政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,[],,COSTA,"113.736635,23.053605",B0FFGYZZYM
东莞,万江街道,万江街道储备土地,教育路与金龙北路交叉路口西北侧,[],政府机构及社会团体;政府机关;政府机关相关,[],,COSTA,"113.706428,23.046549",B0FFHZUHUW
东莞,万江街道,万江街道办事综合楼,万江街道万江墟徐屋街10号,[],政府机构及社会团体;政府机关;政府机关相关,[],,COSTA,"113.737587,23.048083",B03018QUWV
东莞,万江街道,万江街道城市建设工程管理办公室,万江街道万福路21号楼,[],政府机构及社会团体;政府机关;乡镇级政府及事业单位,[],,COSTA,"113.737169,23.047667",B030105URG
东莞,万江街道,万江街道政务服务中心,万江街道拔蛟窝社区滨城路22号,0769-22288973,政府机构及社会团体;政府机关;乡镇级政府及事业单位,[],,COSTA,"113.712130,23.053172",B0H62RY2GZ
东莞,万江街道,万江街道政务服务中心地下停车场,万江街道拔蛟窝滨城路22号万江街道政务服务中心,[],交通设施服务;停车场;公共停车场,[],,COSTA,"113.712748,23.052277",B0HKMU82GM
东莞,万江街道,万江街道新和社区新洲居民小组,万江街道新和社区,[],政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,[],,COSTA,"113.702385,22.997198",B0FFGEE55Y
东莞,万江街道,万江街道法治惠民中心,万江街道沿江东路46号,[],政府机构及社会团体;政府机关;乡镇级政府及事业单位,[],,COSTA,"113.741105,23.047678",B0FFKGYTJA
东莞,万江街道,万江街道泰新路卡仕车享汇,万江街道泰新路115号一幢109-116号铺,13967187995,汽车服务;汽车服务相关;汽车服务相关,4.4,,COSTA,"113.707765,23.040711",B0GRNH7MYO
东莞,万江街道,万江街道石美社区下蓬庙居民小组,万江街道石美社区,[],政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,[],,COSTA,"113.719605,23.049610",B0FFGDHE8H
东莞,万江街道,万江街道莞爱慈善驿站(莞爱019站),万江街道谷溪街22号,[],政府机构及社会团体;政府及社会团体相关;政府及社会团体相关,[],,COSTA,"113.698013,23.030579",B0I1YH6EET
东莞,万江街道,万江街道莞爱慈善驿站(金泰N站),万江街道金曲路36号,[],政府机构及社会团体;社会团体;慈善机构,[],,COSTA,"113.736232,23.040962",B0I16SVFW4
东莞,万江街道,万江街道西堤路十七巷7号,万江街道西堤路125号,[],地名地址信息;门牌信息;门牌信息,[],,COSTA,"113.735208,23.045759",B0J3YHBF22
东莞,万江街道,万江街道黄粘洲社区社会治安综合治理工作站,万江街道万江区,[],政府机构及社会团体;政府机关;政府机关相关,[],,COSTA,"113.710048,23.074802",B0FFH4U5MA
东莞,万江街道,万江通天下,万江街道新村新河路36号,0769-23175620,公司企业;公司;公司,[],,COSTA,"113.684201,23.028308",B0FFGJ1T1U
东莞,万江街道,东云咖啡馆,鳒鱼洲文创园39号楼102室,18033492939,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.733788,23.031320",B0K2D5H8ES
东莞,万江街道,东悦酒店,万江街道石美路段107国道旁(茶叶市场对面),0769-22171888,住宿服务;宾馆酒店;四星级宾馆,3.8,,COSTA,"113.717135,23.057222",B030102XW7
东莞,万江街道,东莞市万江中学,万江街道水蛇涌社区泰新路166号,0769-22273550;0769-22715557,科教文化服务;学校;中学,[],,COSTA,"113.710199,23.038329",B03017WK7R
东莞,万江街道,东莞市万江先锋号职工服务中心,万江街道政务中心四楼(万江街道拔蛟窝滨城路22号),[],政府机构及社会团体;政府机关;乡镇级政府及事业单位,[],,COSTA,"113.712012,23.053237",B0IR4543FN
东莞,万江街道,东莞市万江粮所,万江街道下蓬庙,[],政府机构及社会团体;政府机关;乡镇级政府及事业单位,[],,COSTA,"113.720426,23.049450",B0FFFTD0GZ
东莞,万江街道,东莞市万江英标锁店,万江街道黄龙街53号,13556708389;13559741014,购物服务;家居建材市场;建材五金市场,4.2,,COSTA,"113.731914,23.054390",B03017WLVR
东莞,万江街道,东莞市万江街道万江社区人力资源服务站,万江街道万江新丰路1号,[],政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,[],,COSTA,"113.737837,23.054604",B0FFM1G6EC
东莞,万江街道,东莞市万江街道严屋社区人力资源服务站,万江街道严屋社区兴隆路,[],政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,[],,COSTA,"113.699514,23.052994",B0H6YS9QA6
东莞,万江街道,东莞市万江街道共联社区人力资源服务站,万江街道金龙路116号,[],政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,[],,COSTA,"113.709351,23.037507",B0FFMETVAA
东莞,万江街道,东莞市万江街道办事处,万江社区万福路83号,[],政府机构及社会团体;政府机关;乡镇级政府及事业单位,[],,COSTA,"113.738201,23.047172",B0FFGBF0QQ
东莞,万江街道,东莞市万江街道办事处住房规划建设局,万江街道万福路21号129号,[],政府机构及社会团体;政府机关;政府机关相关,[],,COSTA,"113.736658,23.047885",B0FFK239SQ
东莞,万江街道,东莞市万江街道小享社区人力资源服务站,万江街道小享文明路36号,[],政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,[],,COSTA,"113.688014,23.063263",B030104KLB
东莞,万江街道,东莞市万江街道就业工作办公室,万江街道汾溪路140号,[],政府机构及社会团体;政府机关;乡镇级政府及事业单位,[],,COSTA,"113.706992,23.057872",B0FFHJ3B81
东莞,万江街道,东莞市万江街道新和社区人力资源服务站,万江街道新华路113号,[],政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,[],,COSTA,"113.696829,22.997813",B0H6H7IVBQ
东莞,万江街道,东莞市万江街道滘联社区人力资源服务站,万江街道滘联路78号,[],政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,[],,COSTA,"113.696796,23.078376",B0FFG1027Q
东莞,万江街道,东莞市万江街道牌楼基社区人力资源服务站,万江街道牌楼基教育路10号,[],政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,[],,COSTA,"113.724971,23.043515",B0FFGCN2PC
东莞,万江街道,东莞市万江街道简沙洲社区人力资源服务站,万江街道简沙洲商业路2号,[],政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,[],,COSTA,"113.708405,23.008144",B0H6SC15SP
东莞,万江街道,东莞市万江街道规划管理所,东莞市万江街道沿江路1号曦龙大厦三楼,[],政府机构及社会团体;政府机关;乡镇级政府及事业单位,[],,COSTA,"113.739556,23.044631",B03017U3HD
东莞,万江街道,东莞市万江街道黄粘洲社区人力资源服务站,万江街道万江大塘路2号,[],政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,[],,COSTA,"113.709432,23.073753",B0H6Y7C8MZ
东莞,万江街道,东莞市呢度咖啡馆,旗峰路与八达路交叉口西60米,[],餐饮服务;咖啡厅;咖啡厅|体育休闲服务;娱乐场所;娱乐场所,4.0,,,"113.759446,23.032021",B0I3FRV5F4
东莞,万江街道,东莞市瓦猫咖啡茶饮小食店,万江街道万道路万江段24号华南摩尔主题购物公园12栋1056室,13424815859,餐饮服务;咖啡厅;咖啡厅,3.9,,,"113.727147,23.034909",B0KAURNV3B
